Open time,BTC,ETH,XRP,LTC,DOGE,LINK
2020-07-08,9436.06,246.95,0.20551,45.35,0.0047657,6.4987
2020-07-09,9232.43,241.98,0.20263,44.33,0.0043214,6.082
2020-07-10,9288.34,241.26,0.19909,44.3,0.0035313,6.1488
2020-07-11,9234.03,239.19,0.2011,44.69,0.0038041,6.0994
2020-07-12,9302.75,242.79,0.20128,44.7,0.0036358,7.3345
2020-07-13,9242.62,239.5,0.19867,43.92,0.0031677,7.163
2020-07-14,9255.85,240.44,0.19909,43.88,0.0032888,8.1321
2020-07-15,9197.6,238.61,0.19721,43.33,0.0030868,8.6494
2020-07-16,9133.72,233.57,0.19444,42.09,0.0029808,8.354
2020-07-17,9154.32,232.67,0.1944,41.9,0.0030528,8.2605
2020-07-18,9170.28,235.67,0.1999,42.45,0.003449,7.9734
2020-07-19,9208.99,239.11,0.19956,42.64,0.0033811,8.0784
2020-07-20,9160.78,236.01,0.19465,41.94,0.0032201,7.2301
2020-07-21,9390.0,245.59,0.19949,43.77,0.0032979,7.3101
2020-07-22,9518.16,263.74,0.20348,44.96,0.0032868,7.4689
2020-07-23,9603.27,275.3,0.20851,44.94,0.0032997,7.8983
2020-07-24,9537.8,279.15,0.20392,44.11,0.0032113,7.4284
2020-07-25,9700.42,305.26,0.21463,49.16,0.0032475,7.672
2020-07-26,9931.54,311.0,0.21532,48.1,0.0032323,7.5022
2020-07-27,11029.96,321.93,0.22437,53.28,0.0031694,7.1
2020-07-28,10906.27,316.77,0.23029,55.75,0.003188,7.2333
2020-07-29,11100.53,317.71,0.24327,55.16,0.0031663,7.0876
2020-07-30,11099.61,334.87,0.24408,56.75,0.0032281,7.4093
2020-07-31,11335.46,346.33,0.25939,58.13,0.003224,7.8033
2020-08-01,11801.17,387.0,0.29089,61.65,0.0037144,8.3248
2020-08-02,11071.35,372.42,0.28803,56.77,0.0033312,8.2814
2020-08-03,11219.81,385.94,0.31016,58.48,0.0033818,9.2502
2020-08-04,11191.97,389.61,0.30138,57.61,0.0035458,9.8687
2020-08-05,11744.91,400.72,0.30228,58.88,0.0035028,9.5253
2020-08-06,11762.46,394.77,0.30311,59.03,0.00356,10.2343
2020-08-07,11594.23,379.34,0.29437,57.17,0.003496,10.1286
2020-08-08,11761.41,397.03,0.29527,58.46,0.0035134,12.7093
2020-08-09,11681.68,390.14,0.2879,56.96,0.0034664,13.8104
2020-08-10,11892.92,395.44,0.29469,58.27,0.0034952,13.4722
2020-08-11,11392.08,379.0,0.2831,54.1,0.0033906,12.9971
2020-08-12,11564.33,387.18,0.28233,54.52,0.0034606,16.4635
2020-08-13,11780.0,424.54,0.2942,57.14,0.0034877,17.1883
2020-08-14,11760.54,438.11,0.29995,56.78,0.0035731,16.9574
2020-08-15,11852.4,432.32,0.29884,59.85,0.0035328,19.2285
2020-08-16,11911.0,433.62,0.30455,63.87,0.0035302,18.8061
2020-08-17,12281.13,430.89,0.31539,67.22,0.0035877,16.8196
2020-08-18,11945.01,421.95,0.30251,65.4,0.003476,16.1927
2020-08-19,11754.59,407.46,0.28975,62.12,0.0034196,16.1863
2020-08-20,11853.55,415.94,0.29218,62.8,0.0034399,16.0483
